time_period,rainfall,mean_temperature,disease_cases,population,location
2019-11,116.187,21.04,2113,967626,VqMwIodXtFZ
2019-12,215.85,20.47,2063,967626,VqMwIodXtFZ
2020-01,94.385,21.43,1774,982351.02,VqMwIodXtFZ
2020-02,137.376,21.66,1914,979667,VqMwIodXtFZ
2020-03,173.486,21.42,1891,982351.02,VqMwIodXtFZ
2020-04,203.963,21.02,1447,982351.02,VqMwIodXtFZ
2020-05,44.841,21.48,2355,982351.02,VqMwIodXtFZ
2020-06,31.609,21.79,5434,982351.02,VqMwIodXtFZ
2020-07,2.543,22.17,4804,982351.02,VqMwIodXtFZ
2020-08,19.18,23.02,3998,982351.02,VqMwIodXtFZ
2020-09,44.01,22.22,2248,982351.02,VqMwIodXtFZ
2020-10,103.766,21.58,1584,982351.02,VqMwIodXtFZ
2020-11,144.422,20.61,1790,982351.02,VqMwIodXtFZ
2020-12,100.012,20.86,2172,982351.02,VqMwIodXtFZ
2021-01,110.324,20.88,944,607379,VqMwIodXtFZ
2021-02,83.698,21.46,1169,607379,VqMwIodXtFZ
2021-03,96.206,21.71,1191,607379,VqMwIodXtFZ
2021-04,131.372,20.6,1697,607379,VqMwIodXtFZ
2021-05,119.039,20.84,2034,607379,VqMwIodXtFZ
